false_gods,true_gods,random_gods,expected_questions,status,independent_replications,notes,version,reproduce_command
4,4,4,16.066818,upper_bound,0,,0.17.11,./hardest -f 4 -t 4 -r 4 -b 2 -i 99 -a 1.0014 -e 1.0012 -K 1960 -S 8 -z -99 -U 3 -l 1.01 -s 1775362785 -i 0 -u 16.068749999999998 -M 1 -a 1.0013999999999998 -e 1.0011999999999999
0,7,5,11.249620,upper_bound,0,,0.15.6,./hardest -f 0 -t 7 -r 5 -b 1 -B 0:1 -H 1 -S 7 -c 20 -u 11.170 -i 200 -l 1.1 -l 1.01 -l 1.1 -s 12712224546223165494 -i 0
1,6,5,14.246845,upper_bound,0,,0.17.12,./hardest -f 1 -t 6 -r 5 -b 2 -i 19 -a 1.0001 -e 1.00 -K 1960 -S 8 -z -99 -U 3 -s 15706158981752689868 -i 0 -u 14.249496000000001 -M 1 -a 1.0001 -e 1
2,5,5,15.933342,upper_bound,0,,0.17.11,./hardest -f 2 -t 5 -r 5 -b 1 -i 9 -a 1.004 -e 1.003 -K 1960 -S 7 -z -99 -l 1.01 -s 3140026102176688071 -i 0 -u 15.93361 -M 1 -a 1.004 -e 1.0029999999999999
3,4,5,16.676259,upper_bound,0,,0.17.1,./hardest -f 3 -t 4 -r 5 -b 1 -i 9 -a 1.002 -e 1.0015 -S 8 -H 0 -l 1.01 -s 11975625282621689511 -i 0 -u 16.677641000000001 -M 1
0,12,1,3.846154,optimal,0,,,
1,11,1,7.435897,optimal,0,,0.16.6,./hardest -f 1 -t 11 -r 1 -b 1 -u 12 -i 1000 -b 9 -l 1.01 -s 1774093581 -i 0
2,10,1,9.883450,optimal,0,,0.16.8,./hardest -f 2 -t 10 -r 1 -i 0 -b 0 -l 1.01 -s 1774186717 -i 0
3,9,1,11.644755,optimal,0,,0.16.8,./hardest -f 3 -t 9 -r 1 -i 99 -b 6 -l 1.01 -s 1774186770 -i 0
4,8,1,12.803885,optimal,0,,0.16.8,./hardest -f 4 -t 8 -r 1 -i 99 -b 6 -l 1.01 -s 1774186785 -i 0
5,7,1,13.485625,optimal,0,,0.16.8,./hardest -f 5 -t 7 -r 1 -i 99 -b 6 -l 1.01 -s 1774187070 -i 0
6,6,1,13.712954,optimal,0,,0.16.6,./hardest -f 6 -t 6 -r 1 -i 10 -b 1 -l 1.01 -s 1774097244 -i 0
0,11,2,6.551282,conjectured,3000,,0.16.21,./hardest -f 0 -t 11 -r 2 -b 8 -i 2999 -a 1.01 -e 1.004 -S 7 -l 1.01 -s 1774678350 -i 0 -u 6.5512820000000005 -M 1
1,10,2,9.998834,upper_bound,0,,0.16.21,./hardest -f 1 -t 10 -r 2 -b 2 -i 9999 -a 1.01 -e 1.006 -S 8 -l 1.01 -s 6193170351955003933 -i 0 -u 9.9994170000000011 -M 1
2,9,2,12.296037,upper_bound,0,,0.16.8,./hardest -f 2 -t 9 -r 2 -i 99 -b 6 -u 19.902 -l 1.01 -s 14470901516744427156 -i 0
3,8,2,13.928205,upper_bound,0,,0.16.8,./hardest -f 3 -t 8 -r 2 -i 79 -b 5 -u 14.29 -l 1.01 -s 15804269846136205460 -i 0
4,7,2,14.929604,upper_bound,0,,0.16.8,./hardest -f 4 -t 7 -r 2 -i 99 -b 4 -u 14.7827 -l 1.01 -s 17539702882601166579 -i 0
5,6,2,15.404249,upper_bound,0,,0.16.8,./hardest -f 5 -t 6 -r 2 -i 99 -b 3 -u 15.2806 -l 1.01 -s 5180483115250483054 -i 0
0,10,3,8.580420,upper_bound,0,,0.16.8,./hardest -f 0 -t 10 -r 3 -i 99 -b 5 -u 8.497 -l 1.01 -s 512311800483920078 -i 0
1,9,3,11.975175,upper_bound,0,,0.16.10,./hardest -f 1 -t 9 -r 3 -b 3 -i 99 -l 1.01 -s 14143840792018027724 -i 0
2,8,3,14.099223,upper_bound,0,,0.16.10,./hardest -f 2 -t 8 -r 3 -b 3 -i 9 -l 1.01 -s 14254530071555478001 -i 0
3,7,3,15.523135,upper_bound,0,,0.16.10,./hardest -f 3 -t 7 -r 3 -b 2 -i 9 -l 1.01 -s 11602217976873493711 -i 0
4,6,3,16.316783,upper_bound,0,,0.16.10,./hardest -f 4 -t 6 -r 3 -b 2 -i 9 -l 1.01 -s 13934017437096115778 -i 0
5,5,3,16.620622,upper_bound,0,,0.16.11,./hardest -f 5 -t 5 -r 3 -b 1 -i 2 -l 1.01 -s 1774324838 -i 0
0,9,4,10.199301,upper_bound,0,,0.16.12,./hardest -f 0 -t 9 -r 4 -b 2 -i 99 -l 1.01 -s 743718194436219682 -i 0
1,8,4,13.430614,upper_bound,0,,0.16.12,./hardest -f 1 -t 8 -r 4 -b 2 -i 9 -l 1.01 -s 2838179185685885411 -i 0
2,7,4,15.471484,upper_bound,0,,0.16.12,./hardest -f 2 -t 7 -r 4 -b 1 -i 9 -l 1.01 -s 10024000515317690503 -i 0
3,6,4,16.776806,upper_bound,0,,0.16.12,./hardest -f 3 -t 6 -r 4 -b 1 -i 2 -l 1.01 -s 8493070333569155884 -i 0
4,5,4,17.309662,upper_bound,0,,0.16.12,./hardest -f 4 -t 5 -r 4 -b 0 -i 2 -l 1.01 -s 10519714855229796852 -i 0
0,8,5,11.805285,upper_bound,0,,0.16.12,./hardest -f 0 -t 8 -r 5 -b 2 -i 2 -l 1.01 -s 1774366861 -i 0
1,7,5,14.896893,upper_bound,0,,0.16.12,./hardest -f 1 -t 7 -r 5 -b 1 -i 2 -l 1.01 -s 17559151184802929089 -i 0
2,6,5,16.744698,upper_bound,0,,0.16.12,./hardest -f 2 -t 6 -r 5 -b 0 -i 2 -l 1.01 -s 2119517246730075844 -i 0
3,5,5,17.753278,upper_bound,0,,0.16.12,./hardest -f 3 -t 5 -r 5 -b 0 -i 2 -l 1.01 -s 15428239272913711051 -i 0
4,4,5,18.066789,upper_bound,0,,0.16.12,./hardest -f 4 -t 4 -r 5 -b 0 -i 2 -l 1.01 -s 1774367663 -i 0
0,7,6,13.459327,upper_bound,0,,0.16.12,./hardest -f 0 -t 7 -r 6 -b 2 -i 2 -l 1.01 -s 1774367760 -i 0
1,6,6,16.556043,upper_bound,0,,0.16.13,./hardest -f 1 -t 6 -r 6 -b 0 -i 9 -l 1.01 -s 2085160986708324224 -i 0
